100,100, 79, 80, 54, 59, 32, 38, 21, 16, 50,  0, 79, 16,  0, 16, 6
100,100, 73, 95, 40, 69, 14, 39,  2,  2, 39,  0, 37, 29,  0, 14, 6
 88,100, 42, 77, 12, 50,  0, 22, 45,  0,100, 17, 73, 44, 15, 49, 6
100,100, 49, 77, 17, 51,  2, 24, 24,  0,100, 10, 73, 35,  0, 42, 6
 76,100, 31, 87,  1, 52,  0, 14, 61,  0,100, 27, 50, 42,  1, 21, 6
 75,100, 42, 78, 13, 51,  0, 22, 40,  0,100, 16, 88, 43, 22, 35, 6
100,100, 55, 82, 23, 54,  0, 23, 33,  0, 87, 15, 66, 44, 11, 40, 6
100, 65, 92,100, 39, 93,  9, 62,  0, 27, 31,  0, 60, 26, 19, 28, 6
 86,100, 46, 83, 17, 56,  0, 28, 17,  1, 92,  0,100, 21, 22, 16, 6
 37, 67, 84,100, 51, 80, 24, 41, 32,  0,100,  4, 69, 28,  0, 13, 6
 70,100, 72, 97, 45, 57, 39, 13, 91,  0,100, 39, 41, 44,  0, 11, 6
 70,100, 54, 86, 29, 53, 23, 16, 69,  0,100, 23, 50, 36,  0, 21, 6
100, 99, 52,100, 17, 70,  0, 32, 24,  0, 68, 16, 40, 45,  3, 28, 6
100,100, 63,100, 32, 78,  8, 53,  0, 23, 23,  0, 63,  8, 44, 32, 6
 87,100, 49, 77, 19, 52,  0, 24, 25,  0, 83,  2,100, 25, 45, 31, 6
 77,100, 28, 90,  0, 50, 15, 10, 72,  0,100, 33, 48, 45, 21, 11, 6
100, 93, 74,100, 30, 74,  0, 44,  2, 10, 57,  0, 96, 23, 44, 33, 6
100,100, 56, 89, 22, 59,  0, 26, 24,  0, 77, 11, 77, 39, 22, 36, 6
100,100, 60, 90, 32, 70, 11, 48,  0, 23, 16,  0, 44, 12,  8,  6, 6
 86,100, 38, 76,  8, 48,  0, 20, 50,  0,100, 18, 74, 45,  8, 57, 6
100, 95, 78,100, 28, 72,  0, 39,  1,  4, 71,  0, 88, 32, 11, 41, 6
 96,100, 51, 76, 17, 50,  0, 20, 41,  0,100, 16, 73, 39,  4, 33, 6
100,100, 64, 78, 33, 56, 13, 32,  3,  8, 54,  0, 54, 17,  0,  9, 6
 65,100, 33, 80, 12, 57,  0, 35,  6, 12, 52,  0,100, 13, 58, 19, 6
 94,100, 50, 77, 17, 49,  5, 16, 50,  0,100, 14, 57, 31,  0, 24, 6
100,100, 58, 80, 26, 58,  0, 35,  0, 11, 61,  0, 74, 12, 16,  6, 6
100,100, 58, 91, 24, 69,  2, 42,  0, 12, 39,  0, 49, 26,  4, 37, 6
100,100, 64, 81, 35, 60, 13, 37,  0, 14, 31,  0, 53, 21,  5, 24, 6
100,100, 51, 81, 18, 54,  0, 24, 29,  0, 89, 11, 84, 36, 23, 28, 6
100,100, 57, 85, 20, 57,  0, 27, 26,  0, 90,  8, 81, 34, 14, 36, 6
 84,100, 55, 81, 32, 58, 20, 33, 30,  9,100,  6, 52, 13,  0,  0, 6
100,100, 55, 89, 17, 61,  0, 29, 28,  0, 94,  6, 94, 33, 26, 34, 6
 67,100, 27, 73,  4, 41,  6,  6, 60,  0,100, 24, 52, 37,  0, 22, 6
100,100, 54, 91, 22, 66,  0, 40,  3, 13, 54,  0, 81, 23, 24, 31, 6
 90,100, 58, 88, 23, 56, 16, 17, 66,  0,100, 27, 58, 54,  0, 43, 6
100,100, 69, 83, 40, 58, 15, 31,  0,  0, 36,  1, 43, 27,  6, 20, 6
100,100, 72, 81, 55, 55, 45, 27, 48,  0, 72,  5, 36, 18,  0, 12, 6
 67,100, 39, 88, 10, 56,  0, 20, 44,  0,100, 12, 92, 38, 31, 37, 6
 63,100, 33, 90,  5, 56, 10, 18, 61,  0,100, 22, 46, 36,  0, 16, 6
100, 96, 60,100, 22, 79,  0, 51,  1, 21, 34,  0, 67, 16, 27, 34, 6
 86,100, 38, 72,  7, 38, 14,  3, 82,  0,100, 34, 44, 50,  0, 28, 6
100,100, 62, 80, 32, 59, 11, 38,  0, 16, 35,  0, 78, 17, 24,  8, 6
100,100, 50, 91, 19, 66,  0, 40,  0, 13, 48,  0, 94, 15, 44, 21, 6
 70,100, 33, 89,  0, 56,  2, 18, 62,  0,100, 27, 40, 43,  0, 17, 6
100,100, 61, 83, 35, 63, 12, 43,  0, 22,  4,  0, 41,  6, 27, 25, 6
 95,100, 46, 78, 11, 44,  7,  6, 66,  0,100, 29, 48, 46,  0, 28, 6
100,100, 77, 99, 42, 76, 16, 50,  0, 20, 28,  0, 65, 17, 25, 30, 6
100,100, 71, 93, 38, 65, 16, 33, 29,  0, 76,  7, 35, 19,  0, 14, 6
100,100, 65, 88, 26, 61,  0, 30, 13,  0, 71,  6, 61, 34,  2, 34, 6
 98,100, 50, 83, 14, 53,  0, 20, 46,  0,100, 16, 70, 43, 18, 38, 6
100,100, 62, 85, 34, 58, 11, 31,  0,  3, 48,  0, 81, 24, 34, 23, 6
100,100, 66, 98, 34, 75, 10, 48,  0, 17, 32,  0, 57, 23, 22, 40, 6
100,100, 54, 77, 20, 49,  0, 19, 41,  0,100, 11, 76, 38, 11, 35, 6
100,100, 55, 80, 23, 54,  5, 26, 27,  0, 81,  7, 58, 29,  0, 27, 6
 73,100, 35, 86,  3, 53,  0, 16, 54,  0,100, 22, 53, 42,  4, 30, 6
100,100, 71, 77, 49, 52, 29, 29, 22,  4, 58,  0, 44, 19,  0,  7, 6
